
2025-12-27 22:16:01,412 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/allahabad "HTTP/1.1 200 OK"
2025-12-27 22:16:01,892 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/puducherry "HTTP/1.1 200 OK"
2025-12-27 22:16:02,396 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/pune "HTTP/1.1 200 OK"
2025-12-27 22:16:03,579 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/rajkot "HTTP/1.1 200 OK"
2025-12-27 22:16:04,082 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/ranchi "HTTP/1.1 200 OK"
2025-12-27 22:16:05,849 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/shillong "HTTP/1.1 200 OK"
2025-12-27 22:16:06,351 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/shimla "HTTP/1.1 200 OK"
2025-12-27 22:16:06,862 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/srinagar "HTTP/1.1 200 OK"
2025-12-27 22:16:07,388 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/surat "HTTP/1.1 200 OK"
2025-12-27 22:16:07,881 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/trichy "HTTP/1.1 200 OK"
2025-12-27 22:16:08,372 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/thiruvananthapuram "HTTP/1.1 200 OK"
2025-12-27 22:16:08,839 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/udaipur "HTTP/1.1 200 OK"
2025-12-27 22:16:10,054 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/varanasi "HTTP/1.1 200 OK"
2025-12-27 22:16:10,490 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/vijayawada "HTTP/1.1 200 OK"
2025-12-27 22:16:11,646 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/photos "HTTP/1.1 200 OK"
2025-12-27 22:16:12,138 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/web-stories "HTTP/1.1 200 OK"
2025-12-27 22:16:12,695 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/india "HTTP/1.1 200 OK"
2025-12-27 22:16:13,300 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/elections/assembly-elections/bihar "HTTP/1.1 200 OK"
2025-12-27 22:16:17,384 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/india/andhra-pradesh "HTTP/1.1 200 OK"
2025-12-27 22:16:18,617 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/india/gujarat "HTTP/1.1 200 OK"
2025-12-27 22:16:23,485 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/india/kerala "HTTP/1.1 200 OK"
2025-12-27 22:16:30,064 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/india/web-stories "HTTP/1.1 200 OK"
2025-12-27 22:16:31,237 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/india/operation-sindoor "HTTP/1.1 200 OK"
2025-12-27 22:16:31,719 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/india/cancelpatriarchy "HTTP/1.1 200 OK"
2025-12-27 22:16:32,241 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/world "HTTP/1.1 200 OK"
2025-12-27 22:16:32,735 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/technology "HTTP/1.1 200 OK"
2025-12-27 22:16:33,269 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/sports/cricket "HTTP/1.1 200 OK"
2025-12-27 22:16:34,517 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/tv/hindi "HTTP/1.1 200 OK"
2025-12-27 22:16:34,992 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/education "HTTP/1.1 200 OK"
2025-12-27 22:16:36,284 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/web-series/news "HTTP/1.1 200 OK"
2025-12-27 22:16:37,768 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/blogs "HTTP/1.1 301 Moved Permanently"
2025-12-27 22:16:38,104 | INFO | httpx | HTTP Request: GET http://timesofindia.indiatimes.com/blogs/ "HTTP/1.1 301 Moved Permanently"
2025-12-27 22:16:38,500 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/blogs/ "HTTP/1.1 200 OK"
2025-12-27 22:16:38,952 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/blogs/ "HTTP/1.1 200 OK"
